periode;main_branch;branch;cif;norek;type;nama;pn_pengelola;balance;aval_balance;avg_balance;open_date
2025-01-15;KC Jakarta;10548;1000000015;1000000000015;Giro;Nasabah 00015;PN101224;143850000;411000000;411000000;2023-07-05
2025-01-15;KC Makassar;10542;1000000016;1000000000016;Giro;Nasabah 00016;PN102570;46920000;68000000;68000000;2022-07-16
2025-01-15;KC Medan;10055;1000000017;1000000000017;Tabungan;Nasabah 00017;PN103488;81270000;189000000;189000000;2022-10-06
2025-01-15;KC Makassar;10137;1000000018;1000000000018;Tabungan;Nasabah 00018;PN101580;44850000;195000000;195000000;2023-01-15
2025-01-15;KC Medan;10440;1000000019;1000000000019;Giro;Nasabah 00019;PN103071;39599999;90000000;90000000;2022-02-19
2025-01-15;KC Jakarta;10106;1000000020;1000000000020;Tabungan;Nasabah 00020;PN103803;53760000;112000000;112000000;2021-05-20
2025-01-15;KC Jakarta;10275;1000000021;1000000000021;Deposito;Nasabah 00021;PN100797;131480000;346000000;346000000;2021-10-25
2025-01-15;KC Medan;10761;1000000022;1000000000022;Tabungan;Nasabah 00022;PN101420;38750000;155000000;155000000;2021-01-21
2025-01-15;KC Medan;10448;1000000023;1000000000023;Deposito;Nasabah 00023;PN104583;263520000;488000000;488000000;2024-01-11
2025-01-15;KC Surabaya;10033;1000000024;1000000000024;Deposito;Nasabah 00024;PN100004;141239999;321000000;321000000;2020-10-09
2025-01-15;KC Bandung;10358;1000000025;1000000000025;Tabungan;Nasabah 00025;PN105050;206500000;413000000;413000000;2024-03-07
2025-01-15;KC Makassar;10644;1000000026;1000000000026;Tabungan;Nasabah 00026;PN100006;51000000;102000000;102000000;2024-11-04
2025-01-15;KC Jakarta;10896;1000000027;1000000000027;Deposito;Nasabah 00027;PN103321;54079999;169000000;169000000;2023-02-03
2025-01-15;KC Medan;10894;1000000028;1000000000028;Deposito;Nasabah 00028;PN106802;283409999;423000000;423000000;2024-08-09
2025-01-15;KC Bandung;10288;1000000029;1000000000029;Giro;Nasabah 00029;PN108397;213920000;382000000;382000000;2020-01-10
2025-01-15;KC Surabaya;10147;1000000030;1000000000030;Giro;Nasabah 00030;PN100277;152040000;362000000;362000000;2024-08-25
2025-01-15;KC Surabaya;10412;1000000031;1000000000031;Deposito;Nasabah 00031;PN105978;230790000;471000000;471000000;2022-07-19
2025-01-15;KC Makassar;10684;1000000032;1000000000032;Giro;Nasabah 00032;PN105828;109900000;157000000;157000000;2024-01-21
2025-01-15;KC Semarang;10062;1000000033;1000000000033;Tabungan;Nasabah 00033;PN102015;59800000;115000000;115000000;2020-10-17
2025-01-15;KC Jakarta;10128;1000000034;1000000000034;Deposito;Nasabah 00034;PN102065;255200000;319000000;319000000;2020-09-02
2025-01-15;KC Makassar;10566;1000000035;1000000000035;Giro;Nasabah 00035;PN102873;65750000;263000000;263000000;2024-04-21
2025-01-15;KC Semarang;10613;1000000036;1000000000036;Deposito;Nasabah 00036;PN101122;264659999;401000000;401000000;2021-05-11
2025-01-15;KC Jakarta;10267;1000000037;1000000000037;Tabungan;Nasabah 00037;PN107288;170800000;488000000;488000000;2022-02-06
2025-01-15;KC Surabaya;10267;1000000038;1000000000038;Deposito;Nasabah 00038;PN108366;220550000;401000000;401000000;2022-09-18
2025-01-15;KC Makassar;10008;1000000039;1000000000039;Giro;Nasabah 00039;PN102897;62370000;231000000;231000000;2023-05-05
2025-01-15;KC Surabaya;10335;1000000040;1000000000040;Giro;Nasabah 00040;PN100758;164999999;375000000;375000000;2020-05-21
2025-01-15;KC Semarang;10487;1000000041;1000000000041;Tabungan;Nasabah 00041;PN102121;66120000;228000000;228000000;2021-11-15
2025-01-15;KC Bandung;10362;1000000042;1000000000042;Tabungan;Nasabah 00042;PN106879;48190000;61000000;61000000;2024-09-05
2025-01-15;KC Jakarta;10008;1000000043;1000000000043;Tabungan;Nasabah 00043;PN103655;18700000;55000000;55000000;2020-09-09
2025-01-15;KC Jakarta;10735;1000000044;1000000000044;Giro;Nasabah 00044;PN102091;239859999;358000000;358000000;2024-11-17
2025-01-15;KC Jakarta;10152;1000000045;1000000000045;Deposito;Nasabah 00045;PN102610;109850000;169000000;169000000;2020-02-27
2025-01-15;KC Medan;10856;1000000046;1000000000046;Tabungan;Nasabah 00046;PN102712;89610000;309000000;309000000;2021-04-01
2025-01-15;KC Semarang;10855;1000000047;1000000000047;Giro;Nasabah 00047;PN106705;287280000;456000000;456000000;2021-05-26
2025-01-15;KC Bandung;10214;1000000048;1000000000048;Giro;Nasabah 00048;PN108905;154879999;352000000;352000000;2021-05-26
2025-01-15;KC Surabaya;10099;1000000049;1000000000049;Giro;Nasabah 00049;PN104150;311850000;405000000;405000000;2020-01-20
2025-01-15;KC Medan;10186;1000000050;1000000000050;Tabungan;Nasabah 00050;PN104600;158760000;378000000;378000000;2023-07-04
2025-01-15;KC Bandung;10834;1000000051;1000000000051;Giro;Nasabah 00051;PN108271;288920000;466000000;466000000;2020-05-21
2025-01-15;KC Surabaya;10687;1000000052;1000000000052;Giro;Nasabah 00052;PN104402;67640000;178000000;178000000;2022-06-20
2025-01-15;KC Surabaya;10662;1000000053;1000000000053;Tabungan;Nasabah 00053;PN106975;81300000;271000000;271000000;2024-10-16
2025-01-15;KC Jakarta;10367;1000000054;1000000000054;Deposito;Nasabah 00054;PN108163;61639999;92000000;92000000;2023-11-17
2025-01-15;KC Medan;10806;1000000055;1000000000055;Tabungan;Nasabah 00055;PN106278;36299999;110000000;110000000;2024-11-09
2025-01-15;KC Makassar;10027;1000000056;1000000000056;Giro;Nasabah 00056;PN105991;71920000;232000000;232000000;2021-03-07
2025-01-15;KC Makassar;10678;1000000057;1000000000057;Giro;Nasabah 00057;PN102059;326880000;454000000;454000000;2023-08-22
2025-01-15;KC Medan;10284;1000000058;1000000000058;Giro;Nasabah 00058;PN100352;172250000;265000000;265000000;2023-08-07
2025-01-15;KC Semarang;10739;1000000059;1000000000059;Giro;Nasabah 00059;PN101904;97510000;199000000;199000000;2021-07-19
2025-01-15;KC Semarang;10079;1000000060;1000000000060;Tabungan;Nasabah 00060;PN108197;46199999;70000000;70000000;2022-02-08
2025-01-15;KC Makassar;10129;1000000061;1000000000061;Tabungan;Nasabah 00061;PN106633;134049999;383000000;383000000;2022-07-21
2025-01-15;KC Semarang;10749;1000000062;1000000000062;Tabungan;Nasabah 00062;PN108029;204160000;319000000;319000000;2020-10-10
2025-01-15;KC Makassar;10255;1000000063;1000000000063;Deposito;Nasabah 00063;PN107850;40250000;115000000;115000000;2020-11-23
2025-01-15;KC Semarang;10248;1000000064;1000000000064;Deposito;Nasabah 00064;PN102984;44400000;185000000;185000000;2021-02-08
2025-01-15;KC Surabaya;10205;1000000065;1000000000065;Giro;Nasabah 00065;PN101388;51300000;95000000;95000000;2022-07-18
2025-01-15;KC Bandung;10122;1000000066;1000000000066;Giro;Nasabah 00066;PN108650;103039999;448000000;448000000;2020-09-03
2025-01-15;KC Makassar;10891;1000000067;1000000000067;Tabungan;Nasabah 00067;PN108118;167670000;243000000;243000000;2021-05-12
2025-01-15;KC Makassar;10448;1000000068;1000000000068;Giro;Nasabah 00068;PN104092;208349999;463000000;463000000;2020-07-26
2025-01-15;KC Semarang;10197;1000000069;1000000000069;Deposito;Nasabah 00069;PN100091;201930000;381000000;381000000;2024-03-22
2025-01-15;KC Bandung;10251;1000000070;1000000000070;Deposito;Nasabah 00070;PN104085;39900000;95000000;95000000;2022-05-19
2025-01-15;KC Semarang;10632;1000000071;1000000000071;Tabungan;Nasabah 00071;PN103207;131480000;173000000;173000000;2022-05-05
2025-01-15;KC Medan;10365;1000000072;1000000000072;Tabungan;Nasabah 00072;PN106403;66780000;159000000;159000000;2020-10-20
2025-01-15;KC Jakarta;10833;1000000073;1000000000073;Tabungan;Nasabah 00073;PN107595;211200000;384000000;384000000;2022-02-16
2025-01-15;KC Medan;10600;1000000074;1000000000074;Tabungan;Nasabah 00074;PN108966;87569999;417000000;417000000;2022-07-25
2025-01-15;KC Jakarta;10643;1000000075;1000000000075;Tabungan;Nasabah 00075;PN103138;78030000;153000000;153000000;2022-02-20
2025-01-15;KC Surabaya;10049;1000000076;1000000000076;Giro;Nasabah 00076;PN103017;104880000;437000000;437000000;2024-11-01
2025-01-15;KC Makassar;10032;1000000077;1000000000077;Giro;Nasabah 00077;PN102677;75300000;251000000;251000000;2022-04-06
2025-01-15;KC Surabaya;10374;1000000078;1000000000078;Deposito;Nasabah 00078;PN106380;87330000;213000000;213000000;2023-08-25
2025-01-15;KC Makassar;10663;1000000079;1000000000079;Tabungan;Nasabah 00079;PN108357;94240000;304000000;304000000;2023-07-21
2025-01-15;KC Jakarta;10592;1000000080;1000000000080;Tabungan;Nasabah 00080;PN103929;240950000;305000000;305000000;2022-04-17
2025-01-15;KC Makassar;10174;1000000081;1000000000081;Tabungan;Nasabah 00081;PN105436;24819999;73000000;73000000;2021-03-19
2025-01-15;KC Makassar;10486;1000000082;1000000000082;Tabungan;Nasabah 00082;PN100459;146300000;418000000;418000000;2023-05-08
2025-01-15;KC Jakarta;10045;1000000083;1000000000083;Tabungan;Nasabah 00083;PN104716;292560000;424000000;424000000;2022-08-15
2025-01-15;KC Surabaya;10240;1000000084;1000000000084;Giro;Nasabah 00084;PN105193;111860000;238000000;238000000;2020-08-03
2025-01-15;KC Bandung;10769;1000000085;1000000000085;Giro;Nasabah 00085;PN103006;124320000;336000000;336000000;2020-06-11
2025-01-15;KC Semarang;10733;1000000086;1000000000086;Giro;Nasabah 00086;PN106844;113849999;165000000;165000000;2020-03-07
2025-01-15;KC Jakarta;10570;1000000087;1000000000087;Giro;Nasabah 00087;PN108363;40680000;113000000;113000000;2024-09-05
2025-01-15;KC Surabaya;10178;1000000088;1000000000088;Deposito;Nasabah 00088;PN108812;263910000;463000000;463000000;2022-06-16
2025-01-15;KC Jakarta;10054;1000000089;1000000000089;Tabungan;Nasabah 00089;PN100746;114700000;185000000;185000000;2022-07-01
2025-01-15;KC Semarang;10243;1000000090;1000000000090;Giro;Nasabah 00090;PN108231;175200000;438000000;438000000;2022-08-16
2025-01-15;KC Semarang;10786;1000000091;1000000000091;Tabungan;Nasabah 00091;PN102215;238700000;385000000;385000000;2022-10-05
2025-01-15;KC Bandung;10171;1000000092;1000000000092;Deposito;Nasabah 00092;PN105141;97510000;199000000;199000000;2024-05-17
2025-01-15;KC Makassar;10167;1000000093;1000000000093;Giro;Nasabah 00093;PN105302;181980000;337000000;337000000;2021-05-16
2025-01-15;KC Medan;10714;1000000094;1000000000094;Tabungan;Nasabah 00094;PN108742;55620000;103000000;103000000;2023-07-13
2025-01-15;KC Makassar;10533;1000000095;1000000000095;Deposito;Nasabah 00095;PN104078;225040000;388000000;388000000;2021-10-15
2025-01-15;KC Makassar;10124;1000000096;1000000000096;Tabungan;Nasabah 00096;PN108474;228150000;351000000;351000000;2024-10-15
2025-01-15;KC Semarang;10693;1000000097;1000000000097;Giro;Nasabah 00097;PN102311;34160000;61000000;61000000;2024-06-14
2025-01-15;KC Surabaya;10659;1000000098;1000000000098;Giro;Nasabah 00098;PN102957;108500000;217000000;217000000;2024-04-12
2025-01-15;KC Surabaya;10387;1000000099;1000000000099;Giro;Nasabah 00099;PN103107;28620000;54000000;54000000;2021-08-27
2025-01-15;KC Medan;10844;1000000100;1000000000100;Giro;Nasabah 00100;PN100794;316680000;406000000;406000000;2020-01-11
2025-01-15;KC Semarang;10521;1000000101;1000000000101;Tabungan;Nasabah 00101;PN107516;374400000;468000000;468000000;2024-06-08
2025-01-15;KC Jakarta;10381;1000000102;1000000000102;Deposito;Nasabah 00102;PN103369;220820000;362000000;362000000;2023-09-25
2025-01-15;KC Bandung;10716;1000000103;1000000000103;Deposito;Nasabah 00103;PN100316;52520000;101000000;101000000;2023-04-02
2025-01-15;KC Jakarta;10631;1000000104;1000000000104;Giro;Nasabah 00104;PN106668;285750000;381000000;381000000;2021-08-12
2025-01-15;KC Semarang;10203;1000000105;1000000000105;Tabungan;Nasabah 00105;PN108256;169740000;414000000;414000000;2024-06-22
2025-01-15;KC Surabaya;10566;1000000106;1000000000106;Deposito;Nasabah 00106;PN101987;13500000;50000000;50000000;2023-05-24
2025-01-15;KC Makassar;10083;1000000107;1000000000107;Giro;Nasabah 00107;PN105772;298680000;393000000;393000000;2021-08-08
2025-01-15;KC Semarang;10337;1000000108;1000000000108;Tabungan;Nasabah 00108;PN105442;71760000;138000000;138000000;2022-04-19
2025-01-15;KC Medan;10128;1000000109;1000000000109;Deposito;Nasabah 00109;PN107510;283200000;472000000;472000000;2020-08-24
2025-01-15;KC Bandung;10324;1000000110;1000000000110;Deposito;Nasabah 00110;PN104322;200880000;372000000;372000000;2020-08-19
2025-01-15;KC Surabaya;10696;1000000111;1000000000111;Tabungan;Nasabah 00111;PN105624;226540000;482000000;482000000;2024-11-11
2025-01-15;KC Makassar;10471;1000000112;1000000000112;Tabungan;Nasabah 00112;PN107878;206040000;404000000;404000000;2021-02-13
2025-01-15;KC Surabaya;10489;1000000113;1000000000113;Giro;Nasabah 00113;PN103126;23759999;108000000;108000000;2021-02-03
2025-01-15;KC Jakarta;10615;1000000114;1000000000114;Giro;Nasabah 00114;PN100440;75920000;104000000;104000000;2020-10-26
2025-01-15;KC Surabaya;10143;1000000115;1000000000115;Deposito;Nasabah 00115;PN107343;163440000;227000000;227000000;2022-01-12
2025-01-15;KC Surabaya;10004;1000000116;1000000000116;Giro;Nasabah 00116;PN104438;82890000;307000000;307000000;2024-11-14
2025-01-15;KC Bandung;10001;1000000117;1000000000117;Deposito;Nasabah 00117;PN107209;90190000;311000000;311000000;2021-09-16
2025-01-15;KC Makassar;10264;1000000118;1000000000118;Deposito;Nasabah 00118;PN104607;100969999;439000000;439000000;2021-02-20
2025-01-15;KC Jakarta;10238;1000000119;1000000000119;Giro;Nasabah 00119;PN106685;78000000;156000000;156000000;2020-08-16
2025-01-15;KC Makassar;10777;1000000120;1000000000120;Tabungan;Nasabah 00120;PN103144;295920000;411000000;411000000;2021-08-25
2025-01-15;KC Bandung;10724;1000000121;1000000000121;Deposito;Nasabah 00121;PN102047;23459999;69000000;69000000;2022-10-14
2025-01-15;KC Jakarta;10817;1000000122;1000000000122;Giro;Nasabah 00122;PN105955;239850000;369000000;369000000;2023-03-21
2025-01-15;KC Makassar;10795;1000000123;1000000000123;Giro;Nasabah 00123;PN104492;171600000;220000000;220000000;2022-05-01
2025-01-15;KC Semarang;10080;1000000124;1000000000124;Deposito;Nasabah 00124;PN106947;203280000;363000000;363000000;2020-02-26
2025-01-15;KC Semarang;10190;1000000125;1000000000125;Giro;Nasabah 00125;PN104659;237299999;339000000;339000000;2020-08-24
2025-01-15;KC Jakarta;10875;1000000126;1000000000126;Deposito;Nasabah 00126;PN107423;55759999;82000000;82000000;2024-07-06
2025-01-15;KC Makassar;10014;1000000127;1000000000127;Giro;Nasabah 00127;PN102116;38000000;50000000;50000000;2021-07-12
2025-01-15;KC Bandung;10420;1000000128;1000000000128;Deposito;Nasabah 00128;PN101912;62580000;149000000;149000000;2024-08-20
2025-01-15;KC Medan;10331;1000000129;1000000000129;Giro;Nasabah 00129;PN106725;52780000;203000000;203000000;2023-07-10
2025-01-15;KC Jakarta;10256;1000000130;1000000000130;Tabungan;Nasabah 00130;PN108299;39600000;110000000;110000000;2023-03-16
2025-01-15;KC Surabaya;10239;1000000131;1000000000131;Deposito;Nasabah 00131;PN104887;183000000;305000000;305000000;2024-01-22
2025-01-15;KC Makassar;10680;1000000132;1000000000132;Tabungan;Nasabah 00132;PN104563;75660000;291000000;291000000;2021-10-08
2025-01-15;KC Jakarta;10433;1000000133;1000000000133;Deposito;Nasabah 00133;PN105697;136500000;182000000;182000000;2020-02-12
2025-01-15;KC Semarang;10448;1000000134;1000000000134;Deposito;Nasabah 00134;PN101083;46750000;187000000;187000000;2023-07-26
2025-01-15;KC Bandung;10131;1000000135;1000000000135;Deposito;Nasabah 00135;PN106648;219810000;431000000;431000000;2020-08-16
2025-01-15;KC Semarang;10210;1000000136;1000000000136;Giro;Nasabah 00136;PN105753;166200000;277000000;277000000;2023-01-21
2025-01-15;KC Medan;10314;1000000137;1000000000137;Tabungan;Nasabah 00137;PN106611;140000000;175000000;175000000;2020-03-15
2025-01-15;KC Jakarta;10417;1000000138;1000000000138;Deposito;Nasabah 00138;PN101002;165120000;258000000;258000000;2021-10-14
2025-01-15;KC Semarang;10466;1000000139;1000000000139;Deposito;Nasabah 00139;PN107131;150450000;295000000;295000000;2020-04-04
2025-01-15;KC Semarang;10066;1000000140;1000000000140;Deposito;Nasabah 00140;PN105230;54670000;77000000;77000000;2024-10-15
2025-01-15;KC Jakarta;10279;1000000141;1000000000141;Deposito;Nasabah 00141;PN105413;143040000;298000000;298000000;2023-09-27
2025-01-15;KC Bandung;10414;1000000142;1000000000142;Tabungan;Nasabah 00142;PN100518;312840000;396000000;396000000;2020-03-05
2025-01-15;KC Semarang;10636;1000000143;1000000000143;Giro;Nasabah 00143;PN102359;120900000;310000000;310000000;2020-09-02
2025-01-15;KC Jakarta;10052;1000000144;1000000000144;Deposito;Nasabah 00144;PN106302;233280000;486000000;486000000;2022-11-15
2025-01-15;KC Jakarta;10194;1000000145;1000000000145;Tabungan;Nasabah 00145;PN102804;45900000;153000000;153000000;2021-10-26
2025-01-15;KC Surabaya;10369;1000000146;1000000000146;Tabungan;Nasabah 00146;PN101633;64319999;201000000;201000000;2023-08-05
2025-01-15;KC Surabaya;10503;1000000147;1000000000147;Giro;Nasabah 00147;PN105337;210000000;350000000;350000000;2021-07-03
2025-01-15;KC Semarang;10838;1000000148;1000000000148;Giro;Nasabah 00148;PN101433;296809999;443000000;443000000;2021-11-14
2025-01-15;KC Bandung;10860;1000000149;1000000000149;Deposito;Nasabah 00149;PN102031;160060000;302000000;302000000;2020-09-06
2025-01-15;KC Semarang;10500;1000000150;1000000000150;Tabungan;Nasabah 00150;PN108058;86940000;126000000;126000000;2022-02-25
2025-01-15;KC Makassar;10419;1000000151;1000000000151;Giro;Nasabah 00151;PN100229;55440000;72000000;72000000;2022-04-04
2025-01-15;KC Makassar;10440;1000000152;1000000000152;Deposito;Nasabah 00152;PN108401;64380000;174000000;174000000;2020-07-05
2025-01-15;KC Surabaya;10067;1000000153;1000000000153;Giro;Nasabah 00153;PN104910;119500000;478000000;478000000;2023-08-27
2025-01-15;KC Jakarta;10646;1000000154;1000000000154;Deposito;Nasabah 00154;PN101430;271040000;484000000;484000000;2021-02-08
2025-01-15;KC Semarang;10667;1000000155;1000000000155;Giro;Nasabah 00155;PN106178;211200000;352000000;352000000;2024-09-21
2025-01-15;KC Makassar;10307;1000000156;1000000000156;Deposito;Nasabah 00156;PN104724;26790000;57000000;57000000;2024-10-06
2025-01-15;KC Semarang;10307;1000000157;1000000000157;Deposito;Nasabah 00157;PN105283;22719999;71000000;71000000;2024-01-25
2025-01-15;KC Bandung;10730;1000000158;1000000000158;Tabungan;Nasabah 00158;PN108994;147200000;368000000;368000000;2021-11-26
2025-01-15;KC Jakarta;10341;1000000159;1000000000159;Giro;Nasabah 00159;PN101023;361500000;482000000;482000000;2022-09-10
2025-01-15;KC Bandung;10004;1000000160;1000000000160;Deposito;Nasabah 00160;PN108049;123299999;274000000;274000000;2022-08-11
2025-01-15;KC Makassar;10467;1000000161;1000000000161;Tabungan;Nasabah 00161;PN101075;179760000;428000000;428000000;2023-11-21
2025-01-15;KC Makassar;10313;1000000162;1000000000162;Tabungan;Nasabah 00162;PN105202;335919999;494000000;494000000;2024-10-24
2025-01-15;KC Makassar;10558;1000000163;1000000000163;Giro;Nasabah 00163;PN100366;39360000;164000000;164000000;2020-05-24
2025-01-15;KC Medan;10671;1000000164;1000000000164;Tabungan;Nasabah 00164;PN102237;129599999;405000000;405000000;2024-05-08
2025-01-15;KC Bandung;10188;1000000165;1000000000165;Tabungan;Nasabah 00165;PN101762;140160000;192000000;192000000;2020-02-22
2025-01-15;KC Surabaya;10064;1000000166;1000000000166;Deposito;Nasabah 00166;PN106516;25760000;92000000;92000000;2024-02-11
2025-01-15;KC Semarang;10417;1000000167;1000000000167;Deposito;Nasabah 00167;PN105555;176640000;384000000;384000000;2021-02-02
2025-01-15;KC Surabaya;10819;1000000168;1000000000168;Giro;Nasabah 00168;PN104609;296100000;470000000;470000000;2023-11-22
2025-01-15;KC Medan;10388;1000000169;1000000000169;Giro;Nasabah 00169;PN105534;307840000;481000000;481000000;2023-05-21
2025-01-15;KC Jakarta;10612;1000000170;1000000000170;Tabungan;Nasabah 00170;PN101193;108790000;253000000;253000000;2022-03-27
2025-01-15;KC Bandung;10769;1000000171;1000000000171;Tabungan;Nasabah 00171;PN106218;252720000;351000000;351000000;2021-01-16
2025-01-15;KC Medan;10574;1000000172;1000000000172;Giro;Nasabah 00172;PN105165;233320000;307000000;307000000;2021-04-26
2025-01-15;KC Medan;10068;1000000173;1000000000173;Giro;Nasabah 00173;PN108430;120450000;165000000;165000000;2021-08-13
2025-01-15;KC Semarang;10759;1000000174;1000000000174;Deposito;Nasabah 00174;PN108044;222000000;296000000;296000000;2024-11-13
2025-01-15;KC Makassar;10433;1000000175;1000000000175;Deposito;Nasabah 00175;PN101754;217140000;462000000;462000000;2023-04-10
2025-01-15;KC Bandung;10086;1000000176;1000000000176;Deposito;Nasabah 00176;PN100758;253240000;487000000;487000000;2022-03-06
2025-01-15;KC Semarang;10025;1000000177;1000000000177;Deposito;Nasabah 00177;PN108635;256200000;427000000;427000000;2023-10-26
2025-01-15;KC Makassar;10278;1000000178;1000000000178;Tabungan;Nasabah 00178;PN106881;196100000;265000000;265000000;2021-11-10
2025-01-15;KC Jakarta;10891;1000000179;1000000000179;Deposito;Nasabah 00179;PN101144;183120000;436000000;436000000;2023-09-19
2025-01-15;KC Bandung;10570;1000000180;1000000000180;Giro;Nasabah 00180;PN106228;117500000;470000000;470000000;2021-01-05
2025-01-15;KC Jakarta;10255;1000000181;1000000000181;Giro;Nasabah 00181;PN103722;214199999;315000000;315000000;2022-02-20
2025-01-15;KC Surabaya;10542;1000000182;1000000000182;Deposito;Nasabah 00182;PN103273;330750000;441000000;441000000;2022-02-15
2025-01-15;KC Makassar;10080;1000000183;1000000000183;Tabungan;Nasabah 00183;PN105171;134260000;274000000;274000000;2022-10-02
2025-01-15;KC Bandung;10761;1000000184;1000000000184;Tabungan;Nasabah 00184;PN102742;173900000;235000000;235000000;2021-07-20
2025-01-15;KC Semarang;10832;1000000185;1000000000185;Tabungan;Nasabah 00185;PN105248;273240000;396000000;396000000;2021-07-09
2025-01-15;KC Surabaya;10262;1000000186;1000000000186;Deposito;Nasabah 00186;PN102544;329440000;464000000;464000000;2023-09-11
2025-01-15;KC Makassar;10050;1000000187;1000000000187;Giro;Nasabah 00187;PN101807;63440000;104000000;104000000;2022-09-05
2025-01-15;KC Jakarta;10617;1000000188;1000000000188;Giro;Nasabah 00188;PN106202;25200000;70000000;70000000;2021-03-27
2025-01-15;KC Makassar;10874;1000000189;1000000000189;Giro;Nasabah 00189;PN104762;211829999;307000000;307000000;2022-06-07
2025-01-15;KC Medan;10163;1000000190;1000000000190;Tabungan;Nasabah 00190;PN108341;21840000;52000000;52000000;2023-07-17
2025-01-15;KC Semarang;10531;1000000191;1000000000191;Giro;Nasabah 00191;PN101502;172260000;319000000;319000000;2022-04-18
2025-01-15;KC Makassar;10429;1000000192;1000000000192;Deposito;Nasabah 00192;PN104143;35720000;76000000;76000000;2022-07-16
2025-01-15;KC Medan;10441;1000000193;1000000000193;Giro;Nasabah 00193;PN100149;122200000;235000000;235000000;2023-09-09
2025-01-15;KC Makassar;10276;1000000194;1000000000194;Giro;Nasabah 00194;PN104734;60480000;112000000;112000000;2021-05-25
2025-01-15;KC Medan;10554;1000000195;1000000000195;Tabungan;Nasabah 00195;PN103012;56000000;80000000;80000000;2022-08-10
2025-01-15;KC Jakarta;10474;1000000196;1000000000196;Tabungan;Nasabah 00196;PN103628;54450000;99000000;99000000;2021-07-05
2025-01-15;KC Makassar;10441;1000000197;1000000000197;Tabungan;Nasabah 00197;PN103938;63239999;186000000;186000000;2024-09-05
2025-01-15;KC Bandung;10637;1000000198;1000000000198;Deposito;Nasabah 00198;PN107787;17159999;78000000;78000000;2020-02-15
2025-01-15;KC Jakarta;10280;1000000199;1000000000199;Giro;Nasabah 00199;PN106951;36570000;53000000;53000000;2023-01-27
2025-01-15;KC Semarang;10603;1000000200;1000000000200;Giro;Nasabah 00200;PN108567;77390000;109000000;109000000;2022-06-10
2025-01-15;KC Medan;10056;1000000201;1000000000201;Giro;Nasabah 00201;PN100742;292600000;380000000;380000000;2020-02-15
2025-01-15;KC Medan;10494;1000000202;1000000000202;Giro;Nasabah 00202;PN108432;246480000;316000000;316000000;2023-07-02
2025-01-15;KC Jakarta;10193;1000000203;1000000000203;Deposito;Nasabah 00203;PN108345;147490000;343000000;343000000;2024-10-04
2025-01-15;KC Medan;10251;1000000204;1000000000204;Tabungan;Nasabah 00204;PN108502;256850000;467000000;467000000;2020-03-04
2025-01-15;KC Medan;10689;1000000205;1000000000205;Tabungan;Nasabah 00205;PN105146;364190000;461000000;461000000;2022-05-17
2025-01-15;KC Surabaya;10630;1000000206;1000000000206;Giro;Nasabah 00206;PN102381;148990000;317000000;317000000;2020-10-13
2025-01-15;KC Medan;10466;1000000207;1000000000207;Tabungan;Nasabah 00207;PN103974;25380000;54000000;54000000;2020-06-13
2025-01-15;KC Makassar;10725;1000000208;1000000000208;Deposito;Nasabah 00208;PN102510;77280000;112000000;112000000;2022-08-10
2025-01-15;KC Medan;10331;1000000209;1000000000209;Giro;Nasabah 00209;PN104566;180570000;463000000;463000000;2024-11-02
2025-01-15;KC Jakarta;10476;1000000210;1000000000210;Deposito;Nasabah 00210;PN106717;233840000;296000000;296000000;2020-06-02
